algorithm,num_agents,starts,goals,D_SAFE,T_TAR,success,total_time_s,ct_nodes,find_path_calls,per_uav_path_length,total_path_length,min_pairwise_dist,per_uav_arrival_time,arrival_time_std,conflict_count,notes
MCBS,2,"[(13, 21, 6), (13, 81, 6)]","[(39, 74, 19), (79, 63, 7)]",3,1,TRUE,0.0207,4,11,"[62.45942290502224, 68.60971899154436]",131.0691419,26.25258012,"[34.0, 35.0]",0.5,,success
Sparse_Astar_Only,2,"[(13, 21, 6), (13, 81, 6)]","[(39, 74, 19), (79, 63, 7)]",3,1,TRUE,0.0032,0,2,"[62.45942290502224, 68.60971899154436]",131.0691419,26.25258012,"[31.0, 35.0]",2,1,"baseline conflicts: {'vertex': 0, 'edge': 0, 'time': 1, 'total': 1}"
CBS,2,"[(13, 21, 6), (13, 81, 6)]","[(39, 74, 19), (79, 63, 7)]",3,1,TRUE,0.0039,1,2,"[62.45942290502224, 68.60971899154436]",131.0691419,26.25258012,"[31.0, 35.0]",2,,CBS success
MCBS,2,"[(67, 85, 8), (21, 58, 3)]","[(10, 30, 13), (55, 54, 19)]",3,1,TRUE,0.09,23,68,"[80.48219357998785, 38.46574320450661]",118.9479368,14.12585901,"[41.0, 40.0]",0.5,,success
Sparse_Astar_Only,2,"[(67, 85, 8), (21, 58, 3)]","[(10, 30, 13), (55, 54, 19)]",3,1,TRUE,0.0042,0,2,"[80.48219357998785, 38.46574320450661]",118.9479368,14.12585901,"[41.0, 18.0]",11.5,1,"baseline conflicts: {'vertex': 0, 'edge': 0, 'time': 1, 'total': 1}"
CBS,2,"[(67, 85, 8), (21, 58, 3)]","[(10, 30, 13), (55, 54, 19)]",3,1,TRUE,0.0029,1,2,"[80.48219357998785, 38.46574320450661]",118.9479368,14.12585901,"[41.0, 18.0]",11.5,,CBS success
MCBS,2,"[(43, 15, 14), (20, 80, 9)]","[(78, 25, 12), (90, 89, 11)]",3,1,TRUE,0.0653,17,50,"[36.85442933287672, 71.02073605878137]",107.8751654,62.02194843,"[35.0, 36.0]",0.5,,success
Sparse_Astar_Only,2,"[(43, 15, 14), (20, 80, 9)]","[(78, 25, 12), (90, 89, 11)]",3,1,TRUE,0.0035,0,2,"[36.85442933287672, 71.02073605878137]",107.8751654,63.69521099,"[19.0, 36.0]",8.5,1,"baseline conflicts: {'vertex': 0, 'edge': 0, 'time': 1, 'total': 1}"
CBS,2,"[(43, 15, 14), (20, 80, 9)]","[(78, 25, 12), (90, 89, 11)]",3,1,TRUE,0.0038,1,2,"[36.85442933287672, 71.02073605878137]",107.8751654,63.69521099,"[19.0, 36.0]",8.5,,CBS success
MCBS,2,"[(83, 34, 2), (20, 39, 3)]","[(15, 39, 9), (58, 45, 14)]",3,1,TRUE,0.0625,15,44,"[70.04116222866061, 41.32901306298169]",111.3701753,12.78729962,"[35.0, 34.0]",0.5,,success
Sparse_Astar_Only,2,"[(83, 34, 2), (20, 39, 3)]","[(15, 39, 9), (58, 45, 14)]",3,1,TRUE,0.0084,0,2,"[70.04116222866061, 41.32901306298169]",111.3701753,12.78729962,"[35.0, 20.0]",7.5,1,"baseline conflicts: {'vertex': 0, 'edge': 0, 'time': 1, 'total': 1}"
CBS,2,"[(83, 34, 2), (20, 39, 3)]","[(15, 39, 9), (58, 45, 14)]",3,1,TRUE,0.0033,1,2,"[70.04116222866061, 41.32901306298169]",111.3701753,12.78729962,"[35.0, 20.0]",7.5,,CBS success
MCBS,3,"[(16, 44, 2), (14, 58, 17), (16, 30, 4)]","[(62, 44, 3), (81, 52, 10), (53, 81, 10)]",3,1,TRUE,0.065,12,36,"[46.236067977499786, 69.12655751751002, 64.56772578932606]",179.9303513,6.671837112,"[34.0, 35.0, 34.0]",0.471404521,,success
Sparse_Astar_Only,3,"[(16, 44, 2), (14, 58, 17), (16, 30, 4)]","[(62, 44, 3), (81, 52, 10), (53, 81, 10)]",3,1,TRUE,0.0049,0,3,"[46.236067977499786, 69.12655751751002, 64.56772578932606]",179.9303513,6.671837112,"[24.0, 35.0, 33.0]",4.784233365,2,"baseline conflicts: {'vertex': 0, 'edge': 0, 'time': 2, 'total': 2}"
CBS,3,"[(16, 44, 2), (14, 58, 17), (16, 30, 4)]","[(62, 44, 3), (81, 52, 10), (53, 81, 10)]",3,1,TRUE,0.005,1,3,"[46.236067977499786, 69.12655751751002, 64.56772578932606]",179.9303513,6.671837112,"[24.0, 35.0, 33.0]",4.784233365,,CBS success
MCBS,3,"[(41, 30, 0), (58, 18, 0), (65, 83, 15)]","[(65, 21, 19), (50, 67, 3), (43, 70, 1)]",3,1,TRUE,54.4031,20,60,"[37.02108085817499, 50.38344346898762, 29.273298276121533]",116.6778226,8.458404317,"[25.0, 26.0, 25.0]",0.471404521,,success
Sparse_Astar_Only,3,"[(41, 30, 0), (58, 18, 0), (65, 83, 15)]","[(65, 21, 19), (50, 67, 3), (43, 70, 1)]",3,1,TRUE,2.1769,0,3,"[37.02108085817499, 50.38344346898762, 29.273298276121533]",116.6778226,8.458404317,"[17.0, 26.0, 14.0]",5.099019514,2,"baseline conflicts: {'vertex': 0, 'edge': 0, 'time': 2, 'total': 2}"
CBS,3,"[(41, 30, 0), (58, 18, 0), (65, 83, 15)]","[(65, 21, 19), (50, 67, 3), (43, 70, 1)]",3,1,TRUE,2.4292,1,3,"[37.02108085817499, 50.38344346898762, 29.273298276121533]",116.6778226,8.458404317,"[17.0, 26.0, 14.0]",5.099019514,,CBS success
MCBS,3,"[(49, 53, 16), (77, 82, 10), (63, 57, 16)]","[(71, 36, 19), (11, 60, 20), (14, 33, 2)]",3,1,TRUE,0.161,28,84,"[28.537554668677704, 72.18570196126859, 58.27872542386119]",159.0019821,5.86805208,"[35.0, 36.0, 35.0]",0.471404521,,success
Sparse_Astar_Only,3,"[(49, 53, 16), (77, 82, 10), (63, 57, 16)]","[(71, 36, 19), (11, 60, 20), (14, 33, 2)]",3,1,TRUE,0.0047,0,3,"[28.537554668677704, 72.18570196126859, 58.27872542386119]",159.0019821,5.86805208,"[15.0, 36.0, 28.0]",8.653836657,2,"baseline conflicts: {'vertex': 0, 'edge': 0, 'time': 2, 'total': 2}"
CBS,3,"[(49, 53, 16), (77, 82, 10), (63, 57, 16)]","[(71, 36, 19), (11, 60, 20), (14, 33, 2)]",3,1,TRUE,0.0056,1,3,"[28.537554668677704, 72.18570196126859, 58.27872542386119]",159.0019821,5.86805208,"[15.0, 36.0, 28.0]",8.653836657,,CBS success
